"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","ccn.ac"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","?"
"<android.view.View: void setBackgroundResource(int)>","2130837504"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","?"
"<android.view.View: void setBackgroundResource(int)>","2130837504"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","?"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","sniper","onKeyDown"
"<android.view.View: void setBackgroundResource(int)>","2130837504"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","Mission 1"
"<android.view.View: void setBackgroundResource(int)>","2130837504"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","?"
"<android.view.View: void setBackgroundResource(int)>","2130837504"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","?"
"<android.view.View: void setBackgroundResource(int)>","2130837504"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","?"
"<android.view.View: void setBackgroundResource(int)>","2130837504"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","?"
"<android.view.View: void setBackgroundResource(int)>","2130837504"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","?"
"<android.view.View: void setBackgroundResource(int)>","2130837504"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","?"
"<android.view.View: void setBackgroundResource(int)>","2130837504"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","?"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","sniper","go to menuBoard"
"<android.os.Handler: boolean sendEmptyMessage(int)>","1000"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","sy","--------------1017.0"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","time","------------0"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","sy","--------------996.66003"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","time","------------16"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","sy","--------------969.96375"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","time","------------37"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","sy","--------------924.1987"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","time","------------73"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","sy","--------------911.48627"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","time","------------83"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","sy","--------------884.79"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","time","------------104"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","sy","--------------855.5513"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","time","------------127"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","sy","--------------836.4825"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","time","------------142"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","sy","--------------793.26"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","time","------------176"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","sy","--------------769.10626"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","time","------------195"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","sy","--------------742.41003"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","time","------------216"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","sy","--------------711.9"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","time","------------240"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","sy","--------------689.0175"
"<android.util.Log: int w(java.lang.String,java.lang.String)>","time","------------258"
